name,med_hh_inc_tract_estimate,pop_total_tract_estimate,pop_owner_tract_estimate,pop_renter_tract_estimate,med_hh_inc_tract_moe,pop_total_tract_moe,pop_owner_tract_moe,pop_renter_tract_moe,med_hh_inc_tract_moe_rate,pop_total_tract_moe_rate,pop_owner_tract_moe_rate,pop_renter_tract_moe_rate,geoid,geometry,pop_total,pop_hislat,pop_nonhil,pop_nonhil1r,pop_white,pop_black,pop_amind,pop_asian,pop_pacil,pop_other1r,pop_nonhil2r,borough,census_tract_raw,census_tract_predot,census_tract_postdot,bct2020
"Census Tract 75, Kings County, New York",145481,4783,2200,2583,41681,799,510,753,0.2865047669455118,0.16704996863892954,0.2318181818181818,0.29152148664343785,36047007500,"list(list(c(-73.996209, -73.995881, -73.995558, -73.995232, -73.994901, -73.992623, -73.990424, -73.988272, -73.987279, -73.987668, -73.98808, -73.989388, -73.990426, -73.992587, -73.994889, -73.994654, -73.996527, -73.996209, 40.681724, 40.682395, 40.683069, 40.683741, 40.68443, 40.683544, 40.682694, 40.681863, 40.681467, 40.680818, 40.680172, 40.678285, 40.678681, 40.679521, 40.6802, 40.680541, 40.68106, 40.681724)))",4691,535,4156,3872,3483,79,3,269,5,33,284,3,75,75,00,3007500
"Census Tract 77, Kings County, New York",156399,5297,2657,2640,38618,646,628,597,0.24691973733847403,0.12195582405134982,0.23635679337598794,0.22613636363636364,36047007700,"list(list(c(-73.999352, -73.998728, -73.998068, -73.997672, -73.997283, -73.996887, -73.996527, -73.994654, -73.994889, -73.992587, -73.990426, -73.989388, -73.989914, -73.990426, -73.990802, -73.992566, -73.995275, -73.99664, -73.998551, -73.998619, -73.998863, -73.999924, -73.999352, 40.6752, 40.676489, 40.677866, 40.678682, 40.679502, 40.680315, 40.68106, 40.680541, 40.6802, 40.679521, 40.678681, 40.678285, 40.67685, 40.676249, 40.675783, 40.676106, 40.675778, 40.674134, 40.671926, 40.67183, 40.672167, 
40.674004, 40.6752)))",5690,588,5102,4770,4111,207,0,416,0,36,332,3,77,77,00,3007700
"Census Tract 343, Bronx County, New York",79032,1452,603,849,4608,247,206,239,0.0583054965077437,0.17011019283746556,0.3416252072968491,0.28150765606595995,36005034300,"list(list(c(-73.899611, -73.899226, -73.899993, -73.899505, -73.897253, -73.896634, -73.896606, -73.896596, -73.896546, -73.897557, -73.8992, -73.900007, -73.899611, 40.909596, 40.911044, 40.912017, 40.911978, 40.911655, 40.911324, 40.910202, 40.909628, 40.907507, 40.907472, 40.907712, 40.908129, 40.909596)))",1706,719,987,934,605,212,7,92,0,18,53,2,343,343,00,2034300
"Census Tract 184, Bronx County, New York",101823,3997,2045,1952,17410,718,542,645,0.17098298026968367,0.1796347260445334,0.2650366748166259,0.33043032786885246,36005018400,"list(list(c(-73.835007, -73.833265, -73.831541, -73.829674, -73.828767, -73.827913, -73.826084, -73.825908, -73.82539, -73.82622, -73.826159, -73.826013, -73.828189, -73.828312, -73.828356, -73.829233, -73.830743, -73.83224, -73.833044, -73.833806, -73.834517, -73.835007, 40.838107, 40.83893, 40.839747, 40.840609, 40.840965, 40.841259, 40.841372, 40.838745, 40.835519, 40.834355, 40.834265, 40.834021, 40.832951, 40.833173, 40.833284, 40.834449, 40.83496, 40.83527, 40.835672, 40.836643, 40.837605, 
40.838107)))",4329,1955,2374,2313,1804,211,5,252,0,41,61,2,184,184,00,2018400
"Census Tract 199, Bronx County, New York",33267,7901,295,7606,14884,1084,219,1081,0.4474103465897135,0.1371978230603721,0.7423728813559322,0.1421246384433342,36005019900,"list(list(c(-73.92926, -73.928082, -73.927619, -73.928139, -73.927092, -73.926191, -73.924924, -73.923707, -73.923231, -73.922216, -73.922372, -73.923967, -73.924394, -73.925265, -73.926136, -73.926994, -73.927859, -73.928684, -73.92926, 40.836094, 40.837261, 40.837721, 40.838771, 40.838625, 40.838512, 40.83835, 40.838202, 40.83816, 40.837986, 40.836109, 40.835082, 40.834484, 40.834774, 40.835052, 40.835332, 40.835621, 40.835895, 40.836094)))",7909,5663,2246,2168,134,1918,3,49,3,61,78,2,199,199,00,2019900
"Census Tract 40.01, Bronx County, New York",61450,1425,671,754,12954,268,182,277,0.21080553295362084,0.1880701754385965,0.27123695976154993,0.3673740053050398,36005004001,"list(list(c(-73.860674, -73.85962, -73.860261, -73.85699, -73.856822, -73.856656, -73.856491, -73.856328, -73.856151, -73.8563, -73.859703, -73.860674, 40.828419, 40.828548, 40.829947, 40.830385, 40.829665, 40.828945, 40.828225, 40.827508, 40.82677, 40.826757, 40.826277, 40.828419)))",1739,740,999,940,125,220,8,566,0,21,59,2,40.01,40,01,2004001
"Census Tract 246, Bronx County, New York",70956,2095,822,1273,11586,319,201,312,0.1632842888550651,0.1522673031026253,0.24452554744525548,0.24509033778476041,36005024600,"list(list(c(-73.86304, -73.862119, -73.861996, -73.86192, -73.860971, -73.860986, -73.861035, -73.861057, -73.861058, -73.860583, -73.860148, -73.860121, -73.858617, -73.861193, -73.862509, -73.862789, -73.86304, 40.850611, 40.850806, 40.854392, 40.856783, 40.856807, 40.856476, 40.854936, 40.854381, 40.854208, 40.853621, 40.853035, 40.851627, 40.849687, 40.848603, 40.848362, 40.849238, 40.850611)))",2297,870,1427,1371,863,171,0,313,0,24,56,2,246,246,00,2024600
"Census Tract 364, Bronx County, New York",61000,2608,1593,1015,30873,416,338,393,0.5061147540983607,0.15950920245398773,0.21217827997489014,0.387192118226601,36005036400,"list(list(c(-73.852155, -73.851201, -73.850689, -73.849884, -73.849029, -73.848166, -73.846923, -73.846022, -73.846891, -73.84609, -73.846408, -73.848597, -73.851662, -73.853637, -73.852155, 40.874434, 40.875154, 40.875487, 40.875875, 40.876173, 40.876452, 40.874154, 40.87249, 40.872218, 40.87039, 40.870555, 40.87167, 40.872685, 40.873301, 40.874434)))",2603,463,2140,2080,33,1974,12,54,1,6,60,2,364,364,00,2036400
"Census Tract 351, Bronx County, New York",81250,2728,1285,1443,19052,433,233,380,0.23448615384615384,0.15872434017595308,0.18132295719844357,0.26334026334026334,36005035100,"list(list(c(-73.904946, -73.904286, -73.903262, -73.902412, -73.901068, -73.901958, -73.899824, -73.897035, -73.897172, -73.896707, -73.896458, -73.897115, -73.89794, -73.898447, -73.901012, -73.902859, -73.902787, -73.90108, -73.901515, -73.903998, -73.905335, -73.904946, 40.894777, 40.895352, 40.895852, 40.896486, 40.898619, 40.901294, 40.901042, 40.900288, 40.899679, 40.895805, 40.893706, 40.892086, 40.89049, 40.890495, 40.888896, 40.889165, 40.890293, 40.893414, 40.893729, 40.893326, 40.893611, 
40.894777)))",3539,1174,2365,2244,1680,335,4,202,0,23,121,2,351,351,00,2035100
"Census Tract 430, Bronx County, New York",66890,3496,2025,1471,30002,778,534,697,0.44852743309911797,0.2225400457665904,0.2637037037037037,0.4738273283480625,36005043000,"list(list(c(-73.854492, -73.853136, -73.852155, -73.848629, -73.848063, -73.847181, -73.850691, -73.851829, -73.853403, -73.854492, 40.892479, 40.894922, 40.895137, 40.895914, 40.894437, 40.892128, 40.891303, 40.89163, 40.892132, 40.892479)))",2952,565,2387,2287,69,2008,15,95,0,100,100,2,430,430,00,2043000
