name,poptot,pwhit,pblck,phisp,pasin,poth,prent,pownr,mhhinc,fz_cat,fzr20_100y,fzr50_100y,bct2020,tract,key
"Census Tract 134, Kings County, New York",4212,0.5147198480531814,0.016856600189933523,0.19919278252611586,0.22340930674264006,0.04582146248812924,0.617625812665543,0.382374187334457,94620,Not in flood zone,0,0,3013400,013400,047013400
"Census Tract 137, Kings County, New York",3406,0.6388725778038755,0.05284791544333529,0.14856136230182032,0.08220786846741045,0.07751027598355831,0.6742490522018081,0.3257509477981919,116938,Not in flood zone,0,0,3013700,013700,047013700
"Census Tract 143, Kings County, New York",3705,0.5136302294197032,0.03724696356275304,0.2893387314439946,0.0941970310391363,0.06558704453441289,0.6690747429841623,0.33092525701583775,115444,Not in flood zone,0,0,3014300,014300,047014300
"Census Tract 1, Kings County, New York",4616,0.6889081455805892,0.06390814558058926,0.08925476603119584,0.09705372616984402,0.060875216637781726,0.45345140781108084,0.5465485921889192,107917,2020 100-year flood zone,1,1,3000100,000100,047000100
"Census Tract 666, Kings County, New York",1,0,0,1,0,0,NA,NA,NA,Not in flood zone,0,0,3066600,066600,047066600
"Census Tract 7, Kings County, New York",4415,0.722083805209513,0.02967157417893545,0.08833522083805209,0.08561721404303511,0.07429218573046437,0.5453129057387691,0.45468709426123083,180647,2020 100-year flood zone,1,1,3000700,000700,047000700
"Census Tract 21, Kings County, New York",5975,0.68836820083682,0.03682008368200837,0.0905439330543933,0.10677824267782426,0.0774895397489539,0.4461988304093567,0.5538011695906433,232302,2020 100-year flood zone,1,1,3002100,002100,047002100
"Census Tract 29.01, Kings County, New York",3149,0.03270879644331534,0.4550651000317561,0.2813591616386154,0.18736106700539853,0.04350587488091462,0.9945342205323194,0.005465779467680608,22530,2050 100-year flood zone,0,1,3002901,002901,047002901
"Census Tract 295, Queens County, New York",3826,0.37088342916884476,0.033716675378985886,0.23209618400418192,0.30658651332984843,0.05671719811813902,0.5175510204081633,0.48244897959183675,74107,Not in flood zone,0,0,4029500,029500,081029500
"Census Tract 297, Queens County, New York",2258,0.337466784765279,0.012843224092116917,0.29229406554472986,0.3246235606731621,0.03277236492471214,0.47756729810568294,0.522432701894317,73587,Not in flood zone,0,0,4029700,029700,081029700
"Census Tract 317, Queens County, New York",6781,0.6280784545052353,0.04748562158973603,0.22253354962394928,0.06665683527503317,0.03524553900604621,0.406618927811109,0.593381072188891,65804,2050 100-year flood zone,0,1,4031700,031700,081031700
"Census Tract 330, Queens County, New York",7365,0.014799728445349627,0.7746096401900883,0.10196877121520706,0.027562797012898845,0.08105906313645617,0.2908839779005525,0.7091160220994475,85445,Not in flood zone,0,0,4033000,033000,081033000
"Census Tract 351, Queens County, New York",4178,0.09885112494016275,0.03949258018190522,0.6440880804212542,0.18382000957395883,0.03374820488271901,0.3353448275862069,0.6646551724137931,55417,Not in flood zone,0,0,4035100,035100,081035100
"Census Tract 352, Queens County, New York",2550,0.005490196078431373,0.8031372549019608,0.09333333333333334,0.02784313725490196,0.07019607843137254,0.1793208698969859,0.8206791301030141,100893,Not in flood zone,0,0,4035200,035200,081035200
"Census Tract 187, Queens County, New York",3611,0.2611464968152866,0.08307947936859596,0.35613403489338136,0.24951536970368318,0.05012461921905298,0.5411643127798829,0.45883568722011714,91875,Not in flood zone,0,0,4018700,018700,081018700
"Census Tract 189, Queens County, New York",3457,0.27393693954295634,0.035001446340757886,0.34162568701185997,0.30749204512583167,0.04194388197859422,0.6233430326543808,0.37665696734561915,72851,Not in flood zone,0,0,4018900,018900,081018900
"Census Tract 202, Queens County, New York",1693,0.02362669816893089,0.34672179562906086,0.1813349084465446,0.2262256349675133,0.22209096278795037,0.10781990521327015,0.8921800947867299,92115,Not in flood zone,0,0,4020200,020200,081020200
"Census Tract 204, Queens County, New York",2278,0.022388059701492536,0.31431079894644426,0.26733977172958734,0.27348551360842843,0.12247585601404742,0.6776034236804565,0.3223965763195435,53659,Not in flood zone,0,0,4020400,020400,081020400
"Census Tract 208, Queens County, New York",3513,0.07941929974380871,0.31739254198690575,0.36122971818958155,0.13435809849131797,0.10760034158838594,0.5249211356466877,0.4750788643533123,69219,Not in flood zone,0,0,4020800,020800,081020800
"Census Tract 45, Kings County, New York",3476,0.7692750287686997,0.015535097813578827,0.07566168009205984,0.07710011507479862,0.06242807825086294,0.6305446378439079,0.3694553621560921,146889,Not in flood zone,0,0,3004500,004500,047004500
"Census Tract 49, Kings County, New York",2412,0.6650082918739635,0.07172470978441128,0.12935323383084577,0.06923714759535655,0.06467661691542292,0.4680946006247211,0.5319053993752789,148750,Not in flood zone,0,0,3004900,004900,047004900
"Census Tract 51, Kings County, New York",2658,0.6598946576373212,0.0346124905944319,0.15124153498871332,0.07411587659894657,0.08013544018058694,0.4699395233013163,0.5300604766986837,147973,2020 100-year flood zone,1,1,3005100,005100,047005100
"Census Tract 58, Kings County, New York",3450,0.6481159420289855,0.02,0.18463768115942028,0.11014492753623188,0.03710144927536241,0.6708731241473397,0.3291268758526603,58322,Not in flood zone,0,0,3005800,005800,047005800
"Census Tract 63, Kings County, New York",2007,0.7389138016940707,0.019930244145490782,0.10911808669656203,0.06626806178375685,0.06576980568011959,0.6088044022011005,0.39119559779889945,145556,Not in flood zone,0,0,3006300,006300,047006300
"Census Tract 66, Kings County, New York",3974,0.5629089079013588,0.019124308002013084,0.233517866129844,0.12883744338198289,0.0556114745848012,0.7299168975069252,0.27008310249307477,71724,Not in flood zone,0,0,3006600,006600,047006600
"Census Tract 229, Queens County, New York",0,NA,NA,NA,NA,NA,NA,NA,NA,Not in flood zone,0,0,4022900,022900,081022900
"Census Tract 220.02, Queens County, New York",6010,0.3046589018302829,0.10998336106489184,0.23660565723793678,0.28469217970049915,0.0640599001663893,0.5728338498854602,0.42716615011453984,77520,Not in flood zone,0,0,4022002,022002,081022002
"Census Tract 240, Queens County, New York",6252,0.030230326295585412,0.17562380038387715,0.444977607165707,0.26263595649392196,0.08653230966090852,0.897956204379562,0.10204379562043796,59320,Not in flood zone,0,0,4024000,024000,081024000
"Census Tract 249, Queens County, New York",5724,0.20020964360587,0.018693221523410204,0.2477288609364081,0.5012229210342418,0.03214535290006981,0.7873055905842791,0.2126944094157209,65188,Not in flood zone,0,0,4024900,024900,081024900
"Census Tract 255, Queens County, New York",1603,0.2264504054897068,0.012476606363069246,0.3399875233936369,0.3930131004366812,0.02807236431690585,0.7434083601286173,0.2565916398713826,77019,Not in flood zone,0,0,4025500,025500,081025500
"Census Tract 260, Queens County, New York",2915,0.012349914236706689,0.5341337907375643,0.21852487135506005,0.16157804459691252,0.07341337907375645,0.7635135135135135,0.23648648648648649,66538,Not in flood zone,0,0,4026000,026000,081026000
"Census Tract 262, Queens County, New York",1652,0.004842615012106538,0.5811138014527845,0.16707021791767554,0.1234866828087167,0.12348668280871677,0.306959706959707,0.693040293040293,76875,Not in flood zone,0,0,4026200,026200,081026200
"Census Tract 270, Queens County, New York",1960,0.013265306122448979,0.5989795918367347,0.16428571428571428,0.09030612244897959,0.13316326530612244,0.20613373554550024,0.7938662644544997,128050,Not in flood zone,0,0,4027000,027000,081027000
"Census Tract 272, Queens County, New York",2065,0.01646489104116223,0.609685230024213,0.137046004842615,0.09443099273607748,0.1423728813559323,0.2970731707317073,0.7029268292682926,72938,Not in flood zone,0,0,4027200,027200,081027200
"Census Tract 517, Queens County, New York",2146,0.614165890027959,0.016309412861136997,0.25629077353215285,0.09133271202236719,0.021901211556384026,0.4942105263157895,0.5057894736842106,85200,Not in flood zone,0,0,4051700,051700,081051700
"Census Tract 528, Queens County, New York",1563,0.010876519513755598,0.8055022392834293,0.09149072296865003,0.023672424824056303,0.06845809341010878,0.2831081081081081,0.7168918918918918,77083,Not in flood zone,0,0,4052800,052800,081052800
"Census Tract 534.01, Queens County, New York",2104,0.007129277566539924,0.7956273764258555,0.10218631178707224,0.019486692015209126,0.07557034220532322,0.18489835430784124,0.8151016456921588,99663,Not in flood zone,0,0,4053401,053401,081053401
"Census Tract 540, Queens County, New York",4632,0.02072538860103627,0.6008203799654577,0.15587219343696027,0.11809153713298791,0.10449050086355793,0.33929884775680313,0.6607011522431968,68611,Not in flood zone,0,0,4054000,054000,081054000
"Census Tract 547, Queens County, New York",4166,0.23403744599135862,0.041766682669227076,0.5794527124339894,0.11449831973115698,0.0302448391742679,0.7286180631120783,0.27138193688792167,79764,Not in flood zone,0,0,4054700,054700,081054700
"Census Tract 153, Kings County, New York",2633,0.7504747436384352,0.026965438663121913,0.0938093429548044,0.07519939232814281,0.053551082415495666,0.52029826014913,0.47970173985086995,101125,Not in flood zone,0,0,3015300,015300,047015300
"Census Tract 161, Kings County, New York",3450,0.5944927536231884,0.11014492753623188,0.1263768115942029,0.09478260869565218,0.0742028985507247,0.4921941527107579,0.5078058472892422,174732,Not in flood zone,0,0,3016100,016100,047016100
"Census Tract 167, Kings County, New York",4754,0.7414808582246529,0.023138409760201935,0.1060159865376525,0.05784602440050484,0.07151872107698776,0.515813099367476,0.48418690063252395,180882,Not in flood zone,0,0,3016700,016700,047016700
"Census Tract 169, Kings County, New York",4459,0.6041713388652165,0.030724377663153172,0.17873962771921956,0.12177618300067279,0.06458847275173796,0.6817521278804235,0.3182478721195765,110833,Not in flood zone,0,0,3016900,016900,047016900
"Census Tract 172, Kings County, New York",3300,0.3748484848484849,0.013939393939393939,0.12787878787878787,0.46,0.023333333333333428,0.5536861425512389,0.44631385744876106,102474,Not in flood zone,0,0,3017200,017200,047017200
"Census Tract 205, Kings County, New York",3405,0.570337738619677,0.16299559471365638,0.08663729809104258,0.09162995594713656,0.0883994126284875,0.5649000317359568,0.4350999682640432,118750,Not in flood zone,0,0,3020500,020500,047020500
"Census Tract 210, Kings County, New York",4488,0.2517825311942959,0.005793226381461676,0.12522281639928698,0.5920231729055259,0.02517825311942956,0.6190597204574333,0.3809402795425667,39801,Not in flood zone,0,0,3021000,021000,047021000
"Census Tract 213, Kings County, New York",3880,0.2208762886597938,0.5610824742268041,0.11185567010309279,0.03402061855670103,0.07216494845360821,0.985357657225156,0.014642342774843975,73024,Not in flood zone,0,0,3021300,021300,047021300
"Census Tract 220, Kings County, New York",5660,0.7807420494699646,0.005477031802120141,0.07049469964664311,0.061837455830388695,0.08144876325088346,0.8443898443898444,0.15561015561015562,34107,Not in flood zone,0,0,3022000,022000,047022000
"Census Tract 221, Kings County, New York",3897,0.33897870156530663,0.3836284321272774,0.14498332050295099,0.05517064408519374,0.07723890171927117,0.7016819120684568,0.29831808793154324,51875,Not in flood zone,0,0,3022100,022100,047022100
"Census Tract 230, Kings County, New York",4442,0.6636650157586673,0.015083295812696983,0.19990995047276003,0.07924358397118415,0.04209815398469152,0.7122753842823122,0.2877246157176878,38141,Not in flood zone,0,0,3023000,023000,047023000
"Census Tract 164, Queens County, New York",3306,0.016333938294010888,0.2235329703569268,0.10405323653962492,0.2410768300060496,0.4150030248033878,0.1598722986247544,0.8401277013752456,84758,Not in flood zone,0,0,4016400,016400,081016400
